project_name,status,start_date,end_date,owner,owner_email,total_tasks,todo,in_progress,done,members_count,created_date
"Booking-to-Transfer Tracking  (Integrate กับ REM,LivNex,RentNex,  Sitemaps,Fast Inspect) รองรับวงจรประสิทธิภาพ 30 วัน",ACTIVE,,,ธรา,tharab@sena.co.th,5,5,0,0,2,2026-01-27
CDP/CRM 2025 (Leads Tracking (Online/Offline/Chat)),ACTIVE,,,ธรา,tharab@sena.co.th,2,2,0,0,2,2026-01-27
CMS-POJJAMAN 2026,ACTIVE,,,ธรา,tharab@sena.co.th,4,4,0,0,3,2026-01-27
Corporate OKR System,COMPLETED,,,ธรา,tharab@sena.co.th,3,3,0,0,2,2026-01-27
E-Constract,HOLD,,,ธรา,tharab@sena.co.th,3,3,0,0,2,2026-01-27
Master Customer Profiles & Customer Single View,COMPLETED,,,ธรา,tharab@sena.co.th,2,2,0,0,2,2026-01-27
Meta CAPI Gateway,ACTIVE,,,ธรา,tharab@sena.co.th,1,1,0,0,1,2026-01-27
New HR System or Upgrade (New Technology),DELAY,2026-01-31,2026-03-30,ธรา,tharab@sena.co.th,4,1,1,1,2,2026-01-27
"Pricing Management  , Audit with AI",ACTIVE,,,ธรา,tharab@sena.co.th,3,3,0,0,2,2026-01-27
Product Single View,DELAY,,,ธรา,tharab@sena.co.th,2,2,0,0,2,2026-01-27
REM Improvement,ACTIVE,,,ธรา,tharab@sena.co.th,3,3,0,0,1,2026-01-27
REM LivNex/RentNex Improvement 2026,HOLD,,,ธรา,tharab@sena.co.th,3,3,0,0,2,2026-01-27
"Referral - RentNex,LivNex",DELAY,,,ธรา,tharab@sena.co.th,2,2,0,0,1,2026-01-27
SENA 360 Revamp2025,ACTIVE,,,ธรา,tharab@sena.co.th,3,3,0,0,1,2026-01-27
SENA AI Automation,ACTIVE,,,ธรา,tharab@sena.co.th,5,5,0,0,1,2026-01-27
SENA Cashless Journey,ACTIVE,,,ธรา,tharab@sena.co.th,1,1,0,0,1,2026-01-27
SENA RentNex Application,ACTIVE,,,ธรา,tharab@sena.co.th,2,2,0,0,1,2026-01-27
SENA SiteMaps (Masterplan) 2026(V2),ACTIVE,,,ธรา,tharab@sena.co.th,7,7,0,0,2,2026-01-27
Sales-Bot (สำหรับช่วยทำงานเก็บข้อมูลใน LineGroup  ที่มีการคุยกับธนาคาร),ACTIVE,,,ธรา,tharab@sena.co.th,1,1,0,0,1,2026-01-27
Sales-Kit + AI,ACTIVE,,,ธรา,tharab@sena.co.th,3,3,0,0,1,2026-01-27
SenProp Improvement 2025,ACTIVE,,,ธรา,tharab@sena.co.th,2,2,0,0,1,2026-01-27
SenX Complain Management and Analysis with AI,ACTIVE,,,ธรา,tharab@sena.co.th,3,3,0,0,1,2026-01-27
SenX-Bot (สำหรับช่วยทำงานเก็บข้อมูลใน LineGroup  ที่มีการคุยกัน),ACTIVE,,,ธรา,tharab@sena.co.th,1,0,1,0,1,2026-01-27
Smartify-Backend (สร้างระบบทดแทนการใช้ Google Appsheet),ACTIVE,,,ธรา,tharab@sena.co.th,2,0,2,0,1,2026-01-27
ohm test,ACTIVE,2026-01-28,2026-01-30,อดินันท์ (OHM),adinuna@sena.co.th,5,2,1,1,1,2026-01-29
ระบบบริหารห้องเช่าสำหรับ SENA Fast - Improvement 2026,ACTIVE,,,ธรา,tharab@sena.co.th,1,1,0,0,2,2026-01-27
