Project Name,Project Description,Project Owner Email,Task Title,Task Description,Status,Priority,Assignee Email,Due Date,Start Date
"One Customer ID รวมข้อมูลลูกค้าทุกช่องทางให้เป็นข้อมูลกลางเดียว","รวบรวมข้อมูลลูกค้าทั้งหมดให้อยู่ในศูนย์กลางเดียว และให้ทุกระบบที่เกี่ยวข้องดึงข้อมูลจากแหล่งเดียวกัน เพื่อให้ข้อมูลมีความถูกต้องและสอดคล้องกันทั่วทั้งองค์กร พร้อมรองรับการมองข้อมูลลูกค้าในทุกมิติ ไม่ว่าจะเป็นกิจกรรมที่เกิดขึ้นระหว่างลูกค้ากับบริษัท ประวัติการซื้อสินค้าและการใช้บริการ ตลอดจนข้อมูลการอยู่อาศัย เพื่อให้การใช้งานข้อมูลลูกค้ามีประสิทธิภาพสูงสุด และช่วยให้บริษัทสามารถวิเคราะห์และพัฒนาธุรกิจ รวมถึงบริการให้ตอบโจทย์ลูกค้าได้ดียิ่งขึ้น",tharab@sena.co.th,"Master Customer Profiles เพื่อรวมทุกตัวตนของลูกค้า ที่มีการติดต่อมาจากทุกช่องทาง (โทร, LINE, Facebook, ฟอร์ม, REM, REMLivNex, REM RentNex) ให้สามารถระบุได้ว่าเป็นลูกค้าคนเดียวกันหรือไม่ ถ้าใช่ข้อมูลจะถูกรวมกันเป็นก้อนเดียว เพื่อให้ระบบอื่น ๆ นำไปใช้ต่อ","SaleKit : Customer Single View – รวมข้อมูลลูกค้าทั้งหมดไว้ในหน้าเดียว ให้เห็นตัวตน ประวัติ และกิจกรรมแบบครบถ้วน",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"One Customer ID รวมข้อมูลลูกค้าทุกช่องทางให้เป็นข้อมูลกลางเดียว","รวบรวมข้อมูลลูกค้าทั้งหมดให้อยู่ในศูนย์กลางเดียว และให้ทุกระบบที่เกี่ยวข้องดึงข้อมูลจากแหล่งเดียวกัน เพื่อให้ข้อมูลมีความถูกต้องและสอดคล้องกันทั่วทั้งองค์กร พร้อมรองรับการมองข้อมูลลูกค้าในทุกมิติ ไม่ว่าจะเป็นกิจกรรมที่เกิดขึ้นระหว่างลูกค้ากับบริษัท ประวัติการซื้อสินค้าและการใช้บริการ ตลอดจนข้อมูลการอยู่อาศัย เพื่อให้การใช้งานข้อมูลลูกค้ามีประสิทธิภาพสูงสุด และช่วยให้บริษัทสามารถวิเคราะห์และพัฒนาธุรกิจ รวมถึงบริการให้ตอบโจทย์ลูกค้าได้ดียิ่งขึ้น",tharab@sena.co.th,"Customer Data Integration เชื่อมโยงข้อมูลลูกค้าจากทุกแหล่งข้อมูลเข้ามาเก็บไว้ที่ส่วนกลางโดยอัตโนมัติ ให้ทุกระบบงานที่เกี่ยวข้องกับลูกค้าดึงใช้ข้อมูลกลางเดียวกันอย่างถูกต้องและสอดคล้องกัน","Leads Follow-up System & WeCare SmartifyHome – ทุกระบบต้องดึงและแสดง Customer Single View เดียวกัน เพื่อให้ข้อมูลสอดคล้องทั่วทั้งองค์กร",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"One Customer ID รวมข้อมูลลูกค้าทุกช่องทางให้เป็นข้อมูลกลางเดียว","รวบรวมข้อมูลลูกค้าทั้งหมดให้อยู่ในศูนย์กลางเดียว และให้ทุกระบบที่เกี่ยวข้องดึงข้อมูลจากแหล่งเดียวกัน เพื่อให้ข้อมูลมีความถูกต้องและสอดคล้องกันทั่วทั้งองค์กร พร้อมรองรับการมองข้อมูลลูกค้าในทุกมิติ ไม่ว่าจะเป็นกิจกรรมที่เกิดขึ้นระหว่างลูกค้ากับบริษัท ประวัติการซื้อสินค้าและการใช้บริการ ตลอดจนข้อมูลการอยู่อาศัย เพื่อให้การใช้งานข้อมูลลูกค้ามีประสิทธิภาพสูงสุด และช่วยให้บริษัทสามารถวิเคราะห์และพัฒนาธุรกิจ รวมถึงบริการให้ตอบโจทย์ลูกค้าได้ดียิ่งขึ้น",tharab@sena.co.th,"ใช้ AI วิเคราะห์พฤติกรรมลูกค้าแบบเชิงลึก จากข้อมูลการติดต่อ การสื่อสาร และการใช้บริการ เพื่อสนับสนุนการตัดสินใจและพัฒนาบริการให้ตรงความต้องการลูกค้ามากที่สุด","สร้างระบบฐานข้อมูลสำหรับเก็บ AI - Customer Analysis System (แสดงผลการวิเคราะห์ข้อมูลการติดต่อในหมวดต่างดังนี้ โอกาศทางการขาย , ความชอบ ไม่ขอบ บ้านที่เรานำเสนอ",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"One Customer ID รวมข้อมูลลูกค้าทุกช่องทางให้เป็นข้อมูลกลางเดียว","รวบรวมข้อมูลลูกค้าทั้งหมดให้อยู่ในศูนย์กลางเดียว และให้ทุกระบบที่เกี่ยวข้องดึงข้อมูลจากแหล่งเดียวกัน เพื่อให้ข้อมูลมีความถูกต้องและสอดคล้องกันทั่วทั้งองค์กร พร้อมรองรับการมองข้อมูลลูกค้าในทุกมิติ ไม่ว่าจะเป็นกิจกรรมที่เกิดขึ้นระหว่างลูกค้ากับบริษัท ประวัติการซื้อสินค้าและการใช้บริการ ตลอดจนข้อมูลการอยู่อาศัย เพื่อให้การใช้งานข้อมูลลูกค้ามีประสิทธิภาพสูงสุด และช่วยให้บริษัทสามารถวิเคราะห์และพัฒนาธุรกิจ รวมถึงบริการให้ตอบโจทย์ลูกค้าได้ดียิ่งขึ้น",tharab@sena.co.th,"Customer Single View ระบบที่รวมข้อมูลลูกค้าจากทุกช่องทางให้เป็นภาพเดียว ทำให้ทุกฝ่ายในองค์กรเห็นข้อมูลชุดเดียวกันแบบครบทุกมุมมอง 360 องศา ลดปัญหาข้อมูลไม่ตรงกันและลดเวลาทำงานซ้ำซ้อนอย่างมาก ช่วยให้ฝ่ายขาย–บริการ–โครงการดูแลลูกค้าได้ถูกต้องและแม่นยำขึ้น ส่งผลให้ลูกค้าประทับใจและปิดการขายง่ายขึ้น นอกจากนี้ยังเป็นฐานสำคัญสำหรับการพัฒนา AI วิเคราะห์พฤติกรรมลูกค้าและคาดการณ์โอกาสขายในอนาคต","ปรับปรุงระบบงานเดิม LivNex,RentNex ให้สามารถเรียกดู Customer single View ได้",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform)","ได้ Vendor พัฒนา Sena 360. และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-03-31,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"เชื่อมโยงข้อมูลการติดต่อกับลูกค้าทั้งหมดเข้าระบบงานที่เกี่ยวข้อง เช่น REM เพื่อเป็นข้อมูลสำหรับการวิเคราะห์ใช้งาน เพิ่มโอกาศทางการขาย","ได้ Vendor พัฒนา Sena 360. และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"Real-time Dashboard สำหรับการตอบคำถามลูกค้าผ่าน Chat","ได้ Vendor พัฒนา Sena 360. และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"พัฒนา AI-Agent สำหรับช่วยพนักงานตอบคำถามลูกค้าผ่านช่องทางการ Chat โดยจะเริ่มจากคำถามง่ายๆ เช่นการขอ location, การนัดหมาย , การสอบถาม Promotion มาตรฐาน","ได้ Vendor พัฒนา Sena 360. และ เริ่มพัฒนา",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"พัฒนาระบบเชื่อมโยงข้อมูลจาก REM ไปยัง Meta ผ่าน Conversion API เพื่อส่งข้อมูลเหตุการณ์สำคัญในกระบวนการขายบ้านแบบอัตโนมัติ โดยใช้ข้อมูลสถานะและคุณภาพ Lead จาก REM ในการคัดกรองและส่งสัญญาณกลับให้ Meta เรียนรู้กลุ่มลูกค้าที่มีโอกาสซื้อจริง พร้อมพัฒนา Dashboard สำหรับติดตามคุณภาพ Lead และประสิทธิภาพโฆษณา เพื่อนำไปปรับกลยุทธ์อย่างต่อเนื่อง","",TODO,MEDIUM,tharab@sena.co.th,2026-09-30,
"Digital Sales & Marketing Platform ระบบสำหรับ","พัฒนาหรือจัดหาระบบติดต่อแบบ Omni-Channel (Chat, โทร, Line OA, แอป, Webform) ทำให้ลูกค้าติดต่อ SENA ได้ทุกช่องทางแต่ข้อมูลรวมศูนย์อยู่ที่เดียว ลดปัญหาที่ลูกค้าต้องให้ข้อมูลซ้ำและช่วยให้ทีมงานเห็นประวัติการสนทนาแบบครบถ้วนไม่ว่ามาจากช่องไหน ทำให้ตอบกลับได้เร็วขึ้นและสม่ำเสมอทุกช่องทาง เพิ่มความพึงพอใจและโอกาสปิดการขายอย่างมีนัยสำคัญ อีกทั้งข้อมูลการสื่อสารทั้งหมดจะถูกเชื่อมเข้าสู่ Customer Single View ทำให้ผู้บริหารวิเคราะห์คุณภาพบริการและประสิทธิภาพทีมงานได้แบบ Real-time.",tharab@sena.co.th,"Referral Web Applicaton ให้เป็น Public Agent portal ให้ใครก็ได้มาลงทะเบียนเป็นตัวแทนขายได้","",TODO,MEDIUM,tharab@sena.co.th,2026-06-30,
